"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT07","WT08","WT09","WT11","WT13","WT14","WT16","WT18","WT21","WV01","WV03","WV20"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-03-31","11.86",,,"0.00",,,,"76","58",,"  330","  330","0.0","16.1","31.1",,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-01","8.50"," 0736"," 0736","0.00",,,"70","81","59",,"   30","   30","0.0","17.9","19.9",,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-02","6.04"," 1836"," 1842","0.00",,,"70","85","54",,"  280","  270","0.0","16.1","17.0",,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-03","6.93"," 2341"," 2340","0.00",,,"61","68","53",,"  190","  190","0.0","14.1","16.1",,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-04","12.75"," 1305"," 1322","0.00",,,"57","62","52",,"  250","  250","0.0","23.0","25.9",,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-05","12.75"," 1521"," 1328","0.00",,,"55","61","49",,"  270","  260","0.0","21.9","25.9",,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-06","11.41"," 1313"," 1315","0.00",,,"55","61","49",,"  280","  260","0.0","23.0","25.9",,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-07","10.07"," 1631"," 1639","0.00",,,"57","67","46",,"  270","  270","0.0","25.1","29.1",,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-08","12.97"," 2257"," 1709","0.00",,,"53","57","49",,"  250","  280","0.0","21.9","25.1",,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-09","15.21"," 1820"," 1813","0.00",,,"57","62","51",,"  260","  260","0.0","28.0","32.0",,,,,,,,,,,,,,,,,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-04-10","14.99"," 1622"," 1624","0.00",,,"56","62","49",,"  260","  270","0.0","23.9","28.0",,,,,,,,,,,,,,,,,
