DATE,TMAX,NORM,NORM_KS
2013-12-13,46.0,0.4711538461538462,0.4711538461538462
2013-12-14,40.0,0.4134615384615385,0.4134615384615385
2013-12-15,54.0,0.5480769230769231,0.5480769230769231
2013-12-16,60.0,0.6057692307692308,0.6057692307692308
2013-12-17,61.0,0.6153846153846154,0.6153846153846154
2013-12-18,65.0,0.6538461538461539,0.6538461538461539
2013-12-19,59.0,0.5961538461538461,0.5961538461538461
2013-12-20,24.0,0.25961538461538464,0.25961538461538464
2013-12-21,29.0,0.3076923076923077,0.3076923076923077
2013-12-22,40.0,0.4134615384615385,0.4134615384615385
2013-12-23,47.0,0.4807692307692308,0.4807692307692308
2013-12-24,54.0,0.5480769230769231,0.5480769230769231
2013-12-25,44.0,0.451923076923077,0.451923076923077
2013-12-26,50.0,0.5096153846153846,0.5096153846153846
2013-12-27,58.0,0.5865384615384616,0.5865384615384616
2013-12-28,58.0,0.5865384615384616,0.5865384615384616
2013-12-29,38.0,0.3942307692307693,0.3942307692307693
2013-12-30,46.0,0.4711538461538462,0.4711538461538462
2013-12-31,55.0,0.5576923076923077,0.5576923076923077
2014-01-01,39.0,0.40384615384615385,0.40384615384615385
2014-01-02,48.0,0.4903846153846154,0.4903846153846154
2014-01-03,61.0,0.6153846153846154,0.6153846153846154
2014-01-04,39.0,0.40384615384615385,0.40384615384615385
2014-01-05,14.0,0.1634615384615385,0.1634615384615385
2014-01-06,37.0,0.38461538461538464,0.38461538461538464
2014-01-07,43.0,0.44230769230769235,0.44230769230769235
2014-01-08,38.0,0.3942307692307693,0.3942307692307693
2014-01-09,46.0,0.4711538461538462,0.4711538461538462
2014-01-10,39.0,0.40384615384615385,0.40384615384615385
2014-01-11,55.0,0.5576923076923077,0.5576923076923077
2014-01-12,46.0,0.4711538461538462,0.4711538461538462
2014-01-13,46.0,0.4711538461538462,0.4711538461538462
2014-01-14,39.0,0.40384615384615385,0.40384615384615385
2014-01-15,54.0,0.5480769230769231,0.5480769230769231
2014-01-16,45.0,0.46153846153846156,0.46153846153846156
2014-01-17,52.0,0.5288461538461539,0.5288461538461539
2014-01-18,52.0,,0.5049086874322262
2014-01-19,62.0,,0.5049230768389784
2014-01-20,45.0,,0.5049374662457307
2014-01-21,62.0,,0.5049518556524829
2014-01-22,40.0,,0.5049662450592352
2014-01-23,25.0,0.2692307692307692,0.2692307692307692
2014-01-24,57.0,0.576923076923077,0.576923076923077
2014-01-25,60.0,0.6057692307692308,0.6057692307692308
2014-01-26,57.0,0.576923076923077,0.576923076923077
2014-01-27,20.0,0.22115384615384617,0.22115384615384617
2014-01-28,32.0,,0.3805161985390548
2014-01-29,50.0,,0.3804919320469585
2014-01-30,48.0,,0.3804676655548623
2014-01-31,28.0,,0.38044339906276603
2014-02-01,23.0,,0.3804191325706698
2014-02-02,30.0,0.31730769230769235,0.31730769230769235
2014-02-03,30.0,0.31730769230769235,0.31730769230769235
