"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-02-27","7.61"," 0013"," 0311","0.00",,,,"36","47","25",,"  330","  340",,"19.9","21.9",,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-02-28","8.05"," 2149"," 1343","0.00",,,,"33","47","19","    0","  160","   60",,"14.1","19.9",,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-03-01","8.50"," 2237"," 1640","0.00",,,,"40","54","25",,"  210","  260",,"17.0","21.9",,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-03-02","8.50"," 1259"," 1258","0.00",,,,"39","53","25",,"   20","   30",,"19.9","23.9",,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-03-03","8.28"," 0613"," 0613","0.00",,,,"38","57","19",,"  220","  210",,"15.0","17.0",,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-03-04","9.17"," 1147"," 1101","0.00",,,,"46","61","30",,"   40","   20",,"16.1","21.9",,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-03-05","11.41"," 1611"," 1612","0.00",,,,"46","65","26",,"  180","  190",,"25.1","30.0",,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-03-06","12.08"," 2050"," 2047","0.00",,,,"49","66","32",,"   30","   30",,"30.0","36.0",,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-03-07","8.95"," 2156"," 2146","0.00",,,,"42","54","30",,"  270","  280",,"25.9","31.1",,,,,,,,,,,,,,,,,"    1",,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2005-03-08","14.76"," 0930"," 0929","0.01",,,,"39","51","26",,"   10","   10",,"48.1","55.0","    1",,,,,,,,,,"    1","    1",,,"    1",,"    1",,,
